confidence_threshold,iou_threshold,min_consecutive,num_sequences,num_positive_gt,num_negative_gt,tp,fp,fn,tn,precision,recall,f1,fpr,mean_ttd_seconds,median_ttd_seconds
0.1,0.3,1,2865,1433,1432,1422,668,11,764,0.6804,0.9923,0.8073,0.4665,10.3,0.0
0.1,0.4,1,2865,1433,1432,1422,668,11,764,0.6804,0.9923,0.8073,0.4665,10.3,0.0
0.1,0.5,1,2865,1433,1432,1422,668,11,764,0.6804,0.9923,0.8073,0.4665,10.3,0.0
0.5,0.3,4,2865,1433,1432,1036,112,397,1320,0.9024,0.723,0.8028,0.0782,202.7,61.0
0.4,0.5,4,2865,1433,1432,1040,145,393,1287,0.8776,0.7258,0.7945,0.1013,220.7,85.0
0.4,0.4,5,2865,1433,1432,1011,112,422,1320,0.9003,0.7055,0.7911,0.0782,256.3,115.0
0.5,0.4,4,2865,1433,1432,1008,108,425,1324,0.9032,0.7034,0.7909,0.0754,212.6,74.0
0.2,0.5,5,2865,1433,1432,1033,148,400,1284,0.8747,0.7209,0.7904,0.1034,269.1,120.0
0.1,0.5,5,2865,1433,1432,1050,185,383,1247,0.8502,0.7327,0.7871,0.1292,262.6,120.0
0.25,0.5,5,2865,1433,1432,1019,138,414,1294,0.8807,0.7111,0.7869,0.0964,269.7,120.0
0.3,0.5,5,2865,1433,1432,1002,123,431,1309,0.8907,0.6992,0.7834,0.0859,273.1,120.0
0.5,0.1,5,2865,1433,1432,975,81,458,1351,0.9233,0.6804,0.7834,0.0566,258.7,94.0
0.5,0.2,5,2865,1433,1432,965,81,468,1351,0.9226,0.6734,0.7785,0.0566,261.5,96.0
0.5,0.3,5,2865,1433,1432,952,81,481,1351,0.9216,0.6643,0.7721,0.0566,267.0,111.0
0.5,0.5,4,2865,1433,1432,953,104,480,1328,0.9016,0.665,0.7655,0.0726,231.2,87.0
0.4,0.5,5,2865,1433,1432,936,98,497,1334,0.9052,0.6532,0.7588,0.0684,283.0,120.0
0.5,0.4,5,2865,1433,1432,913,80,520,1352,0.9194,0.6371,0.7527,0.0559,272.9,118.0
0.5,0.5,5,2865,1433,1432,853,72,580,1360,0.9222,0.5953,0.7235,0.0503,297.0,120.0
